out_name,frequency,units,long_name,standard_name,cell_methods,priority,comment
abs350oa,mon,1,,,area mean time: point,TIER 2,
abs350so4,mon,1,,,area mean time: point,TIER 2,
abs350ss,mon,1,,,area mean time: point,TIER 2,
abs440bc,mon,1,,,area mean time: point,TIER 2,
abs440dust,mon,1,,,area mean time: point,TIER 2,
abs440nh4,mon,1,,,area mean time: point,TIER 2,
abs440no3,mon,1,,,area mean time: point,TIER 2,
abs440oa,mon,1,,,area mean time: point,TIER 2,
abs440so4,mon,1,,,area mean time: point,TIER 2,
abs440ss,mon,1,,,area mean time: point,TIER 2,
abs550bc,mon,1,,,area mean time: point,TIER 2,
abs550dust,mon,1,,,area mean time: point,TIER 2,
abs550nh4,mon,1,,,area mean time: point,TIER 2,
abs550no3,mon,1,,,area mean time: point,TIER 2,
abs550oa,mon,1,,,area mean time: point,TIER 2,
abs550so4,mon,1,,,area mean time: point,TIER 2,
abs550ss,mon,1,,,area mean time: point,TIER 2,
abs870bc,mon,1,,,area mean time: point,TIER 2,
abs870dust,mon,1,,,area mean time: point,TIER 2,
abs870nh4,mon,1,,,area mean time: point,TIER 2,
abs870no3,mon,1,,,area mean time: point,TIER 2,
abs870oa,mon,1,,,area mean time: point,TIER 2,
abs870so4,mon,1,,,area mean time: point,TIER 2,
abs870ss,mon,1,,,area mean time: point,TIER 2,
od1000bc,mon,1,,,area mean time: point,TIER 2,
od1000dust,mon,1,,,area mean time: point,TIER 2,
od1000nh4,mon,1,,,area mean time: point,TIER 2,
od1000no3,mon,1,,,area mean time: point,TIER 2,
od1000oa,mon,1,,,area mean time: point,TIER 2,
od1000so4,mon,1,,,area mean time: point,TIER 2,
od1000ss,mon,1,,,area mean time: point,TIER 2,
od350bc,mon,1,,,area mean time: point,TIER 2,
od350dust,mon,1,,,area mean time: point,TIER 2,
od350nh4,mon,1,,,area mean time: point,TIER 2,
od350no3,mon,1,,,area mean time: point,TIER 2,
od350oa,mon,1,,,area mean time: point,TIER 2,
od350so4,mon,1,,,area mean time: point,TIER 2,
od350ss,mon,1,,,area mean time: point,TIER 2,
od440bc,mon,1,,,area mean time: point,TIER 2,
od440dust,mon,1,,,area mean time: point,TIER 2,
od440nh4,mon,1,,,area mean time: point,TIER 2,
od440no3,mon,1,,,area mean time: point,TIER 2,
od440oa,mon,1,,,area mean time: point,TIER 2,
od440so4,mon,1,,,area mean time: point,TIER 2,
od440ss,mon,1,,,area mean time: point,TIER 2,
od870bc,mon,1,,,area mean time: point,TIER 2,
od870dust,mon,1,,,area mean time: point,TIER 2,
od870nh4,mon,1,,,area mean time: point,TIER 2,
od870no3,mon,1,,,area mean time: point,TIER 2,
od870oa,mon,1,,,area mean time: point,TIER 2,
od870so4,mon,1,,,area mean time: point,TIER 2,
od870ss,mon,1,,,area mean time: point,TIER 2,
chepnh4,mon,kg m-2 s-1,,,c,TIER 2,"List of levels: 200, 250, 300, 350, 400, 450, 500, 550, 600, 650, 700, 750, 800, 850, 900, 925, 950, 975, 1000 hPa (all in 1 file if possible)"
chepno3,mon,kg m-2 s-1,,,c,TIER 2,"List of levels: 200, 250, 300, 350, 400, 450, 500, 550, 600, 650, 700, 750, 800, 850, 900, 925, 950, 975, 1000 hPa (all in 1 file if possible)"
