out_name,frequency,units,long_name,standard_name,cell_methods,priority,comment
rluscsaf,day,W m-2,"Surface Upwelling Clear-Sky, Aerosol-Free Longwave Radiation",surface_upwelling_longwave_flux_in_air_assuming_clear_sky_and_no_aerosol,area: time: mean,TIER1,
rluscsaf,6hr,W m-2,"Surface Upwelling Clear-Sky, Aerosol-Free Longwave Radiation",surface_upwelling_longwave_flux_in_air_assuming_clear_sky_and_no_aerosol,area: time: mean,TIER1,
sconcbc,mon,kg m-3,Surface Concentration of Black Carbon,mass_concentration_of_elemental_carbon_dry_aerosol_particles_in_air,area: time: mean,TIER1,
sconcbc,day,kg m-3,Surface Concentration of Black Carbon,mass_concentration_of_elemental_carbon_dry_aerosol_particles_in_air,area: time: mean,TIER1,
sconcbc,1hr,kg m-3,Surface Concentration of Black Carbon,mass_concentration_of_elemental_carbon_dry_aerosol_particles_in_air,area: mean time: point,TIER1,
sconcdust,mon,kg m-3,Surface Concentration of Dust,mass_concentration_of_dust_dry_aerosol_particles_in_air,area: time: mean,TIER1,
sconcdust,day,kg m-3,Surface Concentration of Dust,mass_concentration_of_dust_dry_aerosol_particles_in_air,area: time: mean,TIER1,
sconcdust,1hr,kg m-3,Surface Concentration of Dust,mass_concentration_of_dust_dry_aerosol_particles_in_air,area: mean time: point,TIER1,
sconcnh4,mon,kg m-3,Surface Concentration of Ammonium,mass_concentration_of_ammonium_dry_aerosol_particles_in_air,area: time: mean,TIER1,
sconcnh4,day,kg m-3,Surface Concentration of Ammonium,mass_concentration_of_ammonium_dry_aerosol_particles_in_air,area: time: mean,TIER1,
sconcnh4,1hr,kg m-3,Surface Concentration of Ammonium,mass_concentration_of_ammonium_dry_aerosol_particles_in_air,area: mean time: point,TIER1,
sconcno3,mon,kg m-3,Surface Concentration of Nitrate,mass_concentration_of_nitrate_dry_aerosol_particles_in_air,area: time: mean,TIER1,
sconcno3,day,kg m-3,Surface Concentration of Nitrate,mass_concentration_of_nitrate_dry_aerosol_particles_in_air,area: time: mean,TIER1,
sconcno3,1hr,kg m-3,Surface Concentration of Nitrate,mass_concentration_of_nitrate_dry_aerosol_particles_in_air,area: mean time: point,TIER1,
sconcoa,mon,kg m-3,Surface Concentration of Organic Matter Aerosol,mass_concentration_of_particulate_organic_matter_dry_aerosol_particles_in_air,area: time: mean,TIER1,
sconcoa,day,kg m-3,Surface Concentration of Organic Matter Aerosol,mass_concentration_of_particulate_organic_matter_dry_aerosol_particles_in_air,area: time: mean,TIER1,
sconcoa,1hr,kg m-3,Surface Concentration of Organic Matter Aerosol,mass_concentration_of_particulate_organic_matter_dry_aerosol_particles_in_air,area: mean time: point,TIER1,
sconcso4,mon,kg m-3,Surface Concentration of Sulfate,mass_concentration_of_sulfate_dry_aerosol_particles_in_air,area: time: mean,TIER1,
sconcso4,day,kg m-3,Surface Concentration of Sulfate,mass_concentration_of_sulfate_dry_aerosol_particles_in_air,area: time: mean,TIER1,
